GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
team01,edu.ucsb.cs156.example.services.jobs,JobService,0,73,0,2,0,20,0,6,0,5
team01,edu.ucsb.cs156.example.services.jobs,JobContext,0,48,0,4,0,6,0,4,0,2
team01,edu.ucsb.cs156.example.services.jobs,JobContextFactory,0,13,0,0,0,4,0,2,0,2
team01,edu.ucsb.cs156.example.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
team01,edu.ucsb.cs156.example.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
team01,edu.ucsb.cs156.example.services,SystemInfoServiceImpl,0,52,0,4,0,14,0,6,0,4
team01,edu.ucsb.cs156.example.handlers,UrlEventHandler,0,41,0,8,0,9,0,6,0,2
team01,edu.ucsb.cs156.example.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
team01,edu.ucsb.cs156.example.controllers,ApiController,0,24,0,0,0,7,0,5,0,5
team01,edu.ucsb.cs156.example.controllers,JobsController,0,73,0,2,0,14,0,9,0,8
team01,edu.ucsb.cs156.example.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
team01,edu.ucsb.cs156.example.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
team01,edu.ucsb.cs156.example.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
team01,edu.ucsb.cs156.example.errors,EntityNotFoundException,0,17,0,0,0,2,0,1,0,1
